D:\DATA\HB\201911\2019110109.D  1 Nov 19  10:03 pm,
Start of data points,
3.0868,127
3.09048,127
3.09417,127
3.09785,125
3.10152,127
3.1052,127
3.10888,128
3.11257,127
3.11625,126
3.11993,125
3.12362,123
3.1273,125
3.13098,123
3.13465,123
3.13833,123
3.14202,126
3.1457,125
3.14938,124
3.15307,124
3.15675,122
3.16043,121
3.16412,124
3.16778,123
3.17147,123
3.17515,124
3.17883,122
3.18252,121
3.1862,123
3.18988,123
3.19357,121
3.19725,124
3.20092,121
3.2046,119
3.20828,121
3.21197,122
3.21565,120
3.21933,120
3.22302,120
3.2267,120
3.23038,120
 ,117
3.23773,123
3.24142,117
3.2451,120
3.24878,120
3.25247,118
3.25615,121
3.25983,121
3.26352,121
3.26718,120
3.27087,122
3.27455,119
3.27823,119
3.28192,121
3.2856,122
3.28928,119
3.29297,120
3.29665,120
3.30032,119
3.304,119
3.30768,119
3.31137,119
3.31505,120
3.31873,119
3.32242,120
3.3261,120
3.32978,118
3.33345,120
3.33713,119
3.34082,119
3.3445,119
3.34818,119
3.35187,121
3.35555,120
3.35923,120
3.36292,119
3.36658,121
3.37027,119
3.37395,116
3.37763,121
3.38132,117
3.385,120
3.38868,119
3.39237,117
3.39605,117
3.39972,117
3.4034,119
3.40708,119
3.41077,119
3.41445,119
3.41813,121
3.42182,120
3.4255,121
3.42918,119
3.43287,120
3.43653,122
3.44022,120
3.4439,122
3.44758,119
3.45127,122
3.45495,118
3.45863,121
3.46232,121
3.466,120
3.46967,119
3.47335,122
3.47703,121
3.48072,120
3.4844,118
3.48808,118
3.49177,120
3.49545,120
3.49913,119
3.5028,118
3.50648,120
3.51017,119
3.51385,122
3.51753,117
3.52122,120
3.5249,122
3.52858,118
3.53227,119
3.53593,118
3.53962,119
3.5433,118
3.54698,119
3.55067,118
3.55435,118
3.55803,120
3.56172,119
3.5654,118
3.56907,119
3.57275,120
3.57643,120
3.58012,118
3.5838,117
3.58748,117
3.59117,119
3.59485,118
3.59853,117
3.6022,118
3.60588,119
3.60957,117
3.61325,120
3.61693,121
3.62062,119
3.6243,119
3.62798,119
3.63167,117
3.63533,118
3.63902,120
3.6427,117
3.64638,118
3.65007,117
3.65375,117
3.65743,121
3.66112,118
3.6648,118
3.66847,119
3.67215,118
3.67583,118
3.67952,120
3.6832,122
3.68688,125
3.69057,128
3.69425,131
3.69793,130
3.7016,127
3.70528,127
3.70897,125
3.71265,124
3.71633,124
3.72002,124
3.7237,124
3.72738,124
3.73107,125
3.73473,122
3.73842,124
3.7421,125
3.74578,124
3.74947,126
3.75315,123
3.75683,125
3.76052,124
3.7642,125
3.76788,122
3.77155,123
3.77523,121
3.77892,124
3.7826,123
3.78628,123
3.78997,122
3.79365,124
3.79733,122
3.80102,122
3.80468,120
3.80837,121
3.81205,119
3.81573,121
3.81942,122
3.8231,119
3.82678,119
3.83047,119
3.83415,122
3.83782,120
3.8415,120
3.84518,118
3.84887,117
3.85255,119
3.85623,116
3.85992,119
3.8636,119
3.86728,119
3.87095,119
3.87463,121
3.87832,118
3.882,119
3.88568,118
3.88937,119
3.89305,118
3.89673,119
3.90042,115
3.90408,117
3.90777,118
3.91145,118
3.91513,115
3.91882,118
3.9225,117
3.92618,120
3.92987,118
3.93355,118
3.93722,116
3.9409,119
3.94458,117
3.94827,118
3.95195,117
3.95563,117
3.95932,117
3.963,118
3.96668,118
3.97035,117
3.97403,116
3.97772,118
3.9814,119
3.98508,116
3.98877,117
3.99245,117
3.99613,120
3.99982,119
4.00348,118
4.00717,120
4.01085,115
4.01453,117
4.01822,117
4.0219,119
4.02558,118
4.02927,119
4.03295,119
4.03662,122
4.0403,120
4.04398,119
4.04767,120
4.05135,118
4.05503,118
4.05872,117
4.0624,117
4.06608,119
4.06975,118
4.07343,118
4.07712,118
4.0808,118
4.08448,117
4.08817,118
4.09185,118
4.09553,119
4.09922,120
4.1029,116
4.10657,119
4.11025,115
4.11393,119
4.11762,118
